【portal】INFO 2025-01-02 18:07:25 E:\github_repositories\code_PortalWeb_self\backend\application\utils\middleware.py:14 path=/docs timer=1.00ms status_code=200
【portal】INFO 2025-01-02 18:07:25 E:\github_repositories\code_PortalWeb_self\backend\application\utils\middleware.py:14 path=/openapi.json timer=7.72ms status_code=200
【portal】INFO 2025-01-02 18:08:33 E:\github_repositories\code_PortalWeb_self\backend\application\utils\middleware.py:14 path=/redoc timer=0.00ms status_code=200
【portal】INFO 2025-01-02 18:08:33 E:\github_repositories\code_PortalWeb_self\backend\application\utils\middleware.py:14 path=/openapi.json timer=1.00ms status_code=200
【portal】INFO 2025-01-02 18:17:26 E:\github_repositories\code_PortalWeb_self\backend\application\utils\middleware.py:14 path=/docs timer=0.52ms status_code=200
【portal】INFO 2025-01-02 18:17:26 E:\github_repositories\code_PortalWeb_self\backend\application\utils\middleware.py:14 path=/openapi.json timer=10.00ms status_code=200
【portal】INFO 2025-01-02 18:17:29 E:\github_repositories\code_PortalWeb_self\backend\application\utils\middleware.py:14 path=/redoc timer=0.00ms status_code=200
【portal】INFO 2025-01-02 18:17:29 E:\github_repositories\code_PortalWeb_self\backend\application\utils\middleware.py:14 path=/openapi.json timer=0.00ms status_code=200
【portal】INFO 2025-01-02 18:17:58 E:\github_repositories\code_PortalWeb_self\backend\application\utils\middleware.py:14 path=/redoc timer=1.00ms status_code=200
【portal】INFO 2025-01-02 18:17:58 E:\github_repositories\code_PortalWeb_self\backend\application\utils\middleware.py:14 path=/openapi.json timer=0.00ms status_code=200
【portal】INFO 2025-01-02 18:18:07 E:\github_repositories\code_PortalWeb_self\backend\application\utils\middleware.py:14 path=/redoc timer=1.00ms status_code=200
【portal】INFO 2025-01-02 18:18:07 E:\github_repositories\code_PortalWeb_self\backend\application\utils\middleware.py:14 path=/openapi.json timer=10.19ms status_code=200
【portal】INFO 2025-01-02 18:18:23 E:\github_repositories\code_PortalWeb_self\backend\application\utils\middleware.py:14 path=/redoc timer=0.00ms status_code=200
【portal】INFO 2025-01-02 18:18:23 E:\github_repositories\code_PortalWeb_self\backend\application\utils\middleware.py:14 path=/openapi.json timer=1.00ms status_code=200
【portal】INFO 2025-01-02 18:18:39 E:\github_repositories\code_PortalWeb_self\backend\application\utils\middleware.py:14 path=/redoc timer=1.00ms status_code=200
【portal】INFO 2025-01-02 18:18:40 E:\github_repositories\code_PortalWeb_self\backend\application\utils\middleware.py:14 path=/openapi.json timer=8.00ms status_code=200
【portal】INFO 2025-01-02 18:18:50 E:\github_repositories\code_PortalWeb_self\backend\application\utils\middleware.py:14 path=/redoc timer=0.00ms status_code=200
【portal】INFO 2025-01-02 18:18:50 E:\github_repositories\code_PortalWeb_self\backend\application\utils\middleware.py:14 path=/openapi.json timer=0.00ms status_code=200
【portal】INFO 2025-01-02 18:21:08 E:\github_repositories\code_PortalWeb_self\backend\application\utils\middleware.py:14 path=/docs timer=0.00ms status_code=200
【portal】INFO 2025-01-02 18:21:09 E:\github_repositories\code_PortalWeb_self\backend\application\utils\middleware.py:14 path=/openapi.json timer=1.00ms status_code=200
【portal】INFO 2025-01-02 18:21:13 E:\github_repositories\code_PortalWeb_self\backend\application\utils\middleware.py:14 path=/users/login timer=365.63ms status_code=200
【portal】INFO 2025-01-02 18:21:35 E:\github_repositories\code_PortalWeb_self\backend\application\utils\middleware.py:14 path=/docs timer=1.00ms status_code=200
【portal】INFO 2025-01-02 18:21:35 E:\github_repositories\code_PortalWeb_self\backend\application\utils\middleware.py:14 path=/openapi.json timer=11.00ms status_code=200
【portal】INFO 2025-01-02 18:21:39 E:\github_repositories\code_PortalWeb_self\backend\application\utils\middleware.py:14 path=/users/login timer=394.08ms status_code=200
【portal】INFO 2025-01-02 18:21:44 E:\github_repositories\code_PortalWeb_self\backend\application\utils\middleware.py:14 path=/docs timer=1.00ms status_code=200
【portal】INFO 2025-01-02 18:21:44 E:\github_repositories\code_PortalWeb_self\backend\application\utils\middleware.py:14 path=/openapi.json timer=0.00ms status_code=200
【portal】INFO 2025-01-02 18:21:47 E:\github_repositories\code_PortalWeb_self\backend\application\utils\middleware.py:14 path=/users/login timer=8.03ms status_code=200
【portal】INFO 2025-01-02 18:21:59 E:\github_repositories\code_PortalWeb_self\backend\application\utils\middleware.py:14 path=/docs timer=0.00ms status_code=200
【portal】INFO 2025-01-02 18:21:59 E:\github_repositories\code_PortalWeb_self\backend\application\utils\middleware.py:14 path=/openapi.json timer=8.00ms status_code=200
【portal】INFO 2025-01-02 18:22:03 E:\github_repositories\code_PortalWeb_self\backend\application\utils\middleware.py:14 path=/users/login timer=376.90ms status_code=200
【portal】INFO 2025-01-02 18:23:42 E:\github_repositories\code_PortalWeb_self\backend\application\utils\middleware.py:14 path=/docs timer=1.00ms status_code=200
【portal】INFO 2025-01-02 18:23:42 E:\github_repositories\code_PortalWeb_self\backend\application\utils\middleware.py:14 path=/openapi.json timer=10.52ms status_code=200
